term;document;value
usual;22.txt;2
write;22.txt;2
notes;22.txt;2
past;22.txt;2
process;22.txt;2
hi;22.txt;2
jessica;22.txt;2
amp;22.txt;2
others;22.txt;2
years;22.txt;2
prescribing;22.txt;2
particular;22.txt;2
reason;22.txt;2
quick;22.txt;2
depending;22.txt;2
availability;22.txt;2
gi;22.txt;2
probably;22.txt;2
scheduled;22.txt;2
ready;22.txt;2
year;22.txt;2
motivated;22.txt;2
however;22.txt;2
rangerange;22.txt;2
surgerysurgery;22.txt;2
surgeonsurgeon;22.txt;2
timetime;22.txt;2
peg-jpeg-j;22.txt;2
insuranceinsurance;22.txt;2
thinkthink;22.txt;2
notesnotes;22.txt;2
jessicajessica;22.txt;2
clearanceclearance;22.txt;2
yearsyears;22.txt;2
weeksweeks;22.txt;2
procedureprocedure;22.txt;2
readyready;22.txt;2
duopaduopa;22.txt;2
yearyear;22.txt;2
average;22.txt;1
takes;22.txt;1
initial;22.txt;1
placed;22.txt;1
best;22.txt;1
seems;22.txt;1
vary;22.txt;1
considerably;22.txt;1
also;22.txt;1
aggressive;22.txt;1
douglas;22.txt;1
varian;22.txt;1
familiar;22.txt;1
help;22.txt;1
dayanna;22.txt;1
ocegueda;22.txt;1
companies;22.txt;1
require;22.txt;1
required;22.txt;1
initially;22.txt;1
times;22.txt;1
update;22.txt;1
resubmit;22.txt;1
prolong;22.txt;1
depends;22.txt;1
sometimes;22.txt;1
doctors;22.txt;1
verification;22.txt;1
take;22.txt;1
difficulty;22.txt;1
facilities;22.txt;1
approving;22.txt;1
drug;22.txt;1
includes;22.txt;1
getting;22.txt;1
interventional;22.txt;1
radiology;22.txt;1
setting;22.txt;1
anesthesia;22.txt;1
ir;22.txt;1
lab;22.txt;1
potential;22.txt;1
clinically;22.txt;1
necessary;22.txt;1
truncate;22.txt;1
appears;22.txt;1
pretty;22.txt;1
consistent;22.txt;1
practices;22.txt;1
4-8;22.txt;1
good;22.txt;1
middle;22.txt;1
thanks;22.txt;1
tom;22.txt;1
davis;22.txt;1
sounds;22.txt;1
right;22.txt;1
try;22.txt;1
seen;22.txt;1
one;22.txt;1
nps;22.txt;1
soon;22.txt;1
made;22.txt;1
aware;22.txt;1
eligibility;22.txt;1
decision;22.txt;1
medication;22.txt;1
way;22.txt;1
quickly;22.txt;1
possible;22.txt;1
2-4;22.txt;1
week;22.txt;1
visit;22.txt;1
operative;22.txt;1
typically;22.txt;1
30-45;22.txt;1
pt;22.txt;1
readiness;22.txt;1
leads;22.txt;1
delays;22.txt;1
scheduling;22.txt;1
consult;22.txt;1
case;22.txt;1
already;22.txt;1
cleared;22.txt;1
ship;22.txt;1
indefinite;22.txt;1
question;22.txt;1
quite;22.txt;1
amazing;22.txt;1
caitlin;22.txt;1
houghton;22.txt;1
md;22.txt;1
office;22.txt;1
go;22.txt;1
date;22.txt;1
sign;22.txt;1
reasonable;22.txt;1
timeline;22.txt;1
motivation;22.txt;1
allowed;22.txt;1
month;22.txt;1
authorizing;22.txt;1
timetable;22.txt;1
many;22.txt;1
decided;22.txt;1
hold;22.txt;1
period;22.txt;1
come;22.txt;1
back;22.txt;1
later;22.txt;1
sure;22.txt;1
means;22.txt;1
assume;22.txt;1
sent;22.txt;1
forget;22.txt;1
chart;22.txt;1
different;22.txt;1
medications;22.txt;1
tried;22.txt;1
details;22.txt;1
30-6030-60;22.txt;1
varyvary;22.txt;1
patientpatient;22.txt;1
thoughtsthoughts;22.txt;1
helphelp;22.txt;1
companiescompanies;22.txt;1
writewrite;22.txt;1
reasonreason;22.txt;1
doctorsdoctors;22.txt;1
processprocess;22.txt;1
facilitiesfacilities;22.txt;1
consultationconsultation;22.txt;1
irir;22.txt;1
potentialpotential;22.txt;1
frameframe;22.txt;1
goodgood;22.txt;1
thanksthanks;22.txt;1
davisdavis;22.txt;1
rightright;22.txt;1
npsnps;22.txt;1
decisiondecision;22.txt;1
wayway;22.txt;1
possiblepossible;22.txt;1
availabilityavailability;22.txt;1
delaysdelays;22.txt;1
motivationmotivation;22.txt;1
monthmonth;22.txt;1
timetabletimetable;22.txt;1
periodperiod;22.txt;1
scriptscript;22.txt;1
medicationsmedications;22.txt;1
detailsdetails;22.txt;1
patients;23.txt;13
procedures;23.txt;8
elective;23.txt;7
patient;23.txt;7
changed;23.txt;7
pandemic;23.txt;6
procedure;23.txt;6
patientspatients;23.txt;6
proceduresprocedures;23.txt;6
think;23.txt;5
pandemicpandemic;23.txt;5
surgery;23.txt;4
covid;23.txt;4
covid-19;23.txt;4
much;23.txt;3
duopa;23.txt;3
view;23.txt;3
hours;23.txt;3
testing;23.txt;3
covidcovid;23.txt;3
schedule;23.txt;2
tube;23.txt;2
placement;23.txt;2
able;23.txt;2
observation;23.txt;2
regarding;23.txt;2
hospitalization;23.txt;2
dbs;23.txt;2
likely;23.txt;2
go;23.txt;2
wait;23.txt;2
way;23.txt;2
talk;23.txt;2
assure;23.txt;2
may;23.txt;2
place;23.txt;2
prior;23.txt;2
hospital;23.txt;2
test;23.txt;2
asked;23.txt;2
days;23.txt;2
past;23.txt;2
interested;23.txt;2
sometimes;23.txt;2
ableable;23.txt;2
observationobservation;23.txt;2
hourshours;23.txt;2
procedureprocedure;23.txt;2
daysdays;23.txt;2
interestedinterested;23.txt;2
largest;23.txt;1
issue;23.txt;1
ability;23.txt;1
admission;23.txt;1
since;23.txt;1
admit;23.txt;1
post-procedure;23.txt;1
allowed;23.txt;1
keep;23.txt;1
work-flow;23.txt;1
relatively;23.txt;1
steady;23.txt;1
without;23.txt;1
obstruction;23.txt;1
fears;23.txt;1
play;23.txt;1
part;23.txt;1
well;23.txt;1
interesting;23.txt;1
experience;23.txt;1
opt;23.txt;1
ahead;23.txt;1
rather;23.txt;1
generally;23.txt;1
less;23.txt;1
concerned;23.txt;1
risk;23.txt;1
risky;23.txt;1
going;23.txt;1
grocery;23.txt;1
store;23.txt;1
warn;23.txt;1
typical;23.txt;1
timeline;23.txt;1
prolonged;23.txt;1
agree;23.txt;1
previous;23.txt;1
comments;23.txt;1
practices;23.txt;1
people;23.txt;1
hesitant;23.txt;1
precautions;23.txt;1
every;23.txt;1
tested;23.txt;1
certain;23.txt;1
voiced;23.txt;1
concern;23.txt;1
preference;23.txt;1
calmed;23.txt;1
depends;23.txt;1
comfortable;23.txt;1
mandate;23.txt;1
second;23.txt;1
bad;23.txt;1
phase;23.txt;1
virus;23.txt;1
could;23.txt;1
potentially;23.txt;1
lead;23.txt;1
hosptial;23.txt;1
far;23.txt;1
needed;23.txt;1
immediate;23.txt;1
post;23.txt;1
yes;23.txt;1
counsel;23.txt;1
policies;23.txt;1
also;23.txt;1
pcr;23.txt;1
within;23.txt;1
needs;23.txt;1
resulted;23.txt;1
lt;23.txt;1
like;23.txt;1
trying;23.txt;1
hop;23.txt;1
plane;23.txt;1
hawaii;23.txt;1
northwest;23.txt;1
west;23.txt;1
coast;23.txt;1
really;23.txt;1
required;23.txt;1
undergo;23.txt;1
preoperative;23.txt;1
quarantine;23.txt;1
intervening;23.txt;1
ask;23.txt;1
morning;23.txt;1
operation;23.txt;1
whether;23.txt;1
contact;23.txt;1
symptoms;23.txt;1
fortunately;23.txt;1
rate;23.txt;1
nosocomial;23.txt;1
spread;23.txt;1
seems;23.txt;1
virtually;23.txt;1
nil;23.txt;1
try;23.txt;1
chances;23.txt;1
actually;23.txt;1
getting;23.txt;1
brief;23.txt;1
outpatient;23.txt;1
visit;23.txt;1
quite;23.txt;1
low;23.txt;1
would;23.txt;1
hear;23.txt;1
harold;23.txt;1
boutte;23.txt;1
jr;23.txt;1
md;23.txt;1
several;23.txt;1
suggested;23.txt;1
delaying;23.txt;1
peg-j;23.txt;1
later;23.txt;1
date;23.txt;1
fear;23.txt;1
personal;23.txt;1
reasons;23.txt;1
counseled;23.txt;1
cancelled;23.txt;1
delayed;23.txt;1
nm;23.txt;1
taken;23.txt;1
consideration;23.txt;1
potential;23.txt;1
cause;23.txt;1
delays;23.txt;1
future;23.txt;1
even;23.txt;1
decides;23.txt;1
ready;23.txt;1
process;23.txt;1
guidelines;23.txt;1
ever;23.txt;1
changing;23.txt;1
recommend;23.txt;1
sooner;23.txt;1
based;23.txt;1
medical;23.txt;1
condition;23.txt;1
however;23.txt;1
others;23.txt;1
guiding;23.txt;1
vaccinations;23.txt;1
readily;23.txt;1
available;23.txt;1
nervous;23.txt;1
prefer;23.txt;1
time;23.txt;1
reasonable;23.txt;1
course;23.txt;1
tell;23.txt;1
rush;23.txt;1
kinds;23.txt;1
safety;23.txt;1
measures;23.txt;1
including;23.txt;1
provider;23.txt;1
perspective;23.txt;1
discuss;23.txt;1
work-flowwork-flow;23.txt;1
steadysteady;23.txt;1
fearsfears;23.txt;1
partpart;23.txt;1
duopaduopa;23.txt;1
likelylikely;23.txt;1
riskrisk;23.txt;1
riskyrisky;23.txt;1
storestore;23.txt;1
timelinetimeline;23.txt;1
commentscomments;23.txt;1
peoplepeople;23.txt;1
precautionsprecautions;23.txt;1
thinkthink;23.txt;1
placementplacement;23.txt;1
hospitalizationhospitalization;23.txt;1
counselcounsel;23.txt;1
policiespolicies;23.txt;1
testtest;23.txt;1
needsneeds;23.txt;1
planeplane;23.txt;1
hawaiihawaii;23.txt;1
coastcoast;23.txt;1
spreadspread;23.txt;1
chanceschances;23.txt;1
hospitalhospital;23.txt;1
lowlow;23.txt;1
peg-jpeg-j;23.txt;1
sometimessometimes;23.txt;1
reasonsreasons;23.txt;1
causecause;23.txt;1
futurefuture;23.txt;1
readyready;23.txt;1
surgerysurgery;23.txt;1
guidelinesguidelines;23.txt;1
soonersooner;23.txt;1
conditioncondition;23.txt;1
othersothers;23.txt;1
vaccinationsvaccinations;23.txt;1
measuresmeasures;23.txt;1
perspectiveperspective;23.txt;1
patients;24.txt;24
tube;24.txt;20
would;24.txt;19
duopa;24.txt;19
team;24.txt;18
patientspatients;24.txt;17
houghton;24.txt;16
therapy;24.txt;14
caitlin;24.txt;13
md;24.txt;11
questions;24.txt;10
thakkar;24.txt;10
disease;24.txt;10
placing;24.txt;9
therapytherapy;24.txt;9
help;24.txt;8
carolyn;24.txt;8
sandeep;24.txt;8
ask;24.txt;8
parkinson;24.txt;8
treatment;24.txt;8
good;24.txt;8
taylor;24.txt;7
avram;24.txt;7
know;24.txt;7
say;24.txt;7
questionsquestions;24.txt;7
duopaduopa;24.txt;7
tubetube;24.txt;7
fraint;24.txt;6
sanjiv;24.txt;6
parikh;24.txt;6
richard;24.txt;6
pierce;24.txt;6
harold;24.txt;6
boutte;24.txt;6
jr;24.txt;6
dr;24.txt;6
tubing;24.txt;6
conversations;24.txt;6
patient;24.txt;6
see;24.txt;6
part;24.txt;6
back;24.txt;6
member;24.txt;6
tom;24.txt;6
davis;24.txt;6
membermember;24.txt;6
great;24.txt;5
approached;24.txt;5
potential;24.txt;5
might;24.txt;5
hesitant;24.txt;5
jessica;24.txt;5
karl;24.txt;5
gi;24.txt;4
movement;24.txt;4
well;24.txt;4
helpful;24.txt;4
times;24.txt;4
assist;24.txt;4
certainly;24.txt;4
physician;24.txt;4
etc;24.txt;4
specific;24.txt;4
placed;24.txt;4
tubes;24.txt;4
pd;24.txt;4
together;24.txt;4
rush;24.txt;4
also;24.txt;4
program;24.txt;4
start;24.txt;4
saying;24.txt;4
role;24.txt;4
tend;24.txt;4
answer;24.txt;4
maybe;24.txt;4
next;24.txt;4
meeting;24.txt;4
give;24.txt;4
presentation;24.txt;4
procedure;24.txt;4
members;24.txt;4
fraintfraint;24.txt;4
piercepierce;24.txt;4
houghtonhoughton;24.txt;4
patientpatient;24.txt;4
thakkarthakkar;24.txt;4
rolerole;24.txt;4
feel;24.txt;3
comfortable;24.txt;3
medication;24.txt;3
perspective;24.txt;3
overview;24.txt;3
knowledgeable;24.txt;3
insights;24.txt;3
thank;24.txt;3
often;24.txt;3
new;24.txt;3
surgeons;24.txt;3
much;24.txt;3
awareness;24.txt;3
starting;24.txt;3
experience;24.txt;3
opinion;24.txt;3
proceduralists;24.txt;3
education;24.txt;3
beginning;24.txt;3
neurologists;24.txt;3
seems;24.txt;3
need;24.txt;3
replacement;24.txt;3
question;24.txt;3
geared;24.txt;3
towards;24.txt;3
amp;24.txt;3
trained;24.txt;3
therapies;24.txt;3
phd;24.txt;3
placement;24.txt;3
training;24.txt;3
dbs;24.txt;3
infusion;24.txt;3
advanced;24.txt;3
always;24.txt;3
work;24.txt;3
possible;24.txt;3
sure;24.txt;3
improvement;24.txt;3
yes;24.txt;3
take;24.txt;3
issues;24.txt;3
years;24.txt;3
actually;24.txt;3
directly;24.txt;3
insightsinsights;24.txt;3
surgeonssurgeons;24.txt;3
opinionopinion;24.txt;3
proceduralistsproceduralists;24.txt;3
conversationsconversations;24.txt;3
tubestubes;24.txt;3
therapiestherapies;24.txt;3
workwork;24.txt;3
yesyes;24.txt;3
issuesissues;24.txt;3
membersmembers;24.txt;3
specifically;24.txt;2
regarding;24.txt;2
informed;24.txt;2
time;24.txt;2
care;24.txt;2
common;24.txt;2
expertise;24.txt;2
took;24.txt;2
involved;24.txt;2
drm;24.txt;2
working;24.txt;2
ever;24.txt;2
since;24.txt;2
northwestern;24.txt;2
based;24.txt;2
therapeutics;24.txt;2
along;24.txt;2
rn;24.txt;2
msn;24.txt;2
agpcnp-bc;24.txt;2
interventional;24.txt;2
consultation;24.txt;2
closely;24.txt;2
best;24.txt;2
decide;24.txt;2
candidate;24.txt;2
administered;24.txt;2
route;24.txt;2
make;24.txt;2
safely;24.txt;2
tends;24.txt;2
defer;24.txt;2
related;24.txt;2
office;24.txt;2
symptoms;24.txt;2
seen;24.txt;2
believe;24.txt;2
significantly;24.txt;2
helps;24.txt;2
full;24.txt;2
effects;24.txt;2
electively;24.txt;2
issue;24.txt;2
eager;24.txt;2
parts;24.txt;2
made;24.txt;2
honestly;24.txt;2
probably;24.txt;2
could;24.txt;2
use;24.txt;2
quick;24.txt;2
basics;24.txt;2
somewhat;24.txt;2
addition;24.txt;2
dinner;24.txt;2
brief;24.txt;2
reasons;24.txt;2
candidates;24.txt;2
short;24.txt;2
baseline;24.txt;2
knowledge;24.txt;2
components;24.txt;2
sounds;24.txt;2
like;24.txt;2
discussion;24.txt;2
points;24.txt;2
attend;24.txt;2
finish;24.txt;2
offer;24.txt;2
teams;24.txt;2
many;24.txt;2
hired;24.txt;2
disorder;24.txt;2
moreover;24.txt;2
freka;24.txt;2
trial;24.txt;2
significant;24.txt;2
scheduling;24.txt;2
coaxial;24.txt;2
outcomes;24.txt;2
diseasedisease;24.txt;2
phdphd;24.txt;2
seesee;24.txt;2
placementplacement;24.txt;2
rushrush;24.txt;2
programprogram;24.txt;2
rnrn;24.txt;2
consultationconsultation;24.txt;2
medicationmedication;24.txt;2
parkinsonparkinson;24.txt;2
symptomssymptoms;24.txt;2
questionquestion;24.txt;2
effectseffects;24.txt;2
eagereager;24.txt;2
basicsbasics;24.txt;2
knowledgeableknowledgeable;24.txt;2
additionaddition;24.txt;2
candidatescandidates;24.txt;2
componentscomponents;24.txt;2
soundssounds;24.txt;2
pointspoints;24.txt;2
startstart;24.txt;2
teamsteams;24.txt;2
outcomesoutcomes;24.txt;2
given;24.txt;1
background;24.txt;1
internal;24.txt;1
medicine;24.txt;1
fielding;24.txt;1
disorders;24.txt;1
effect;24.txt;1
motility;24.txt;1
describing;24.txt;1
absorption;24.txt;1
jejunum;24.txt;1
drug;24.txt;1
kinetic;24.txt;1
pump;24.txt;1
programming;24.txt;1
run;24.txt;1
boluses;24.txt;1
alarms;24.txt;1
trouble;24.txt;1
shooting;24.txt;1
invariably;24.txt;1
deferred;24.txt;1
however;24.txt;1
still;24.txt;1
receive;24.txt;1
regardless;24.txt;1
thanks;24.txt;1
typically;24.txt;1
recovery;24.txt;1
day-to-day;24.txt;1
field;24.txt;1
general;24.txt;1
provider;24.txt;1
keeps;24.txt;1
within;24.txt;1
sphere;24.txt;1
without;24.txt;1
extend;24.txt;1
answering;24.txt;1
adam;24.txt;1
stein;24.txt;1
previously;24.txt;1
majority;24.txt;1
nmh;24.txt;1
lead;24.txt;1
past;24.txt;1
year;24.txt;1
treat;24.txt;1
proficient;24.txt;1
fellowship;24.txt;1
focused;24.txt;1
similar;24.txt;1
current;24.txt;1
position;24.txt;1
responsible;24.txt;1
included;24.txt;1
arrived;24.txt;1
soon;24.txt;1
covers;24.txt;1
essentially;24.txt;1
usually;24.txt;1
hesitancy;24.txt;1
due;24.txt;1
unfamiliarity;24.txt;1
proceduralist;24.txt;1
side;24.txt;1
important;24.txt;1
nursing;24.txt;1
staff;24.txt;1
order;24.txt;1
concerns;24.txt;1
troubleshoot;24.txt;1
nurses;24.txt;1
replace;24.txt;1
outer;24.txt;1
occur;24.txt;1
leaks;24.txt;1
especially;24.txt;1
old;24.txt;1
disconnection;24.txt;1
j-tube;24.txt;1
connector;24.txt;1
allows;24.txt;1
valuable;24.txt;1
invited;24.txt;1
university;24.txt;1
natural;24.txt;1
include;24.txt;1
one;24.txt;1
options;24.txt;1
long;24.txt;1
clear;24.txt;1
roles;24.txt;1
communication;24.txt;1
neurology;24.txt;1
managing;24.txt;1
burden;24.txt;1
stable;24.txt;1
support;24.txt;1
abbvie;24.txt;1
excellent;24.txt;1
surgical;24.txt;1
intervention;24.txt;1
readily;24.txt;1
agreed;24.txt;1
recognized;24.txt;1
quickly;24.txt;1
participated;24.txt;1
challenges;24.txt;1
combined;24.txt;1
technical;24.txt;1
leading;24.txt;1
jejunostomy;24.txt;1
pulled;24.txt;1
coiled;24.txt;1
stomach;24.txt;1
angle;24.txt;1
entry;24.txt;1
percutaneous;24.txt;1
tract;24.txt;1
coming;24.txt;1
repositioning;24.txt;1
ir;24.txt;1
taken;24.txt;1
pull;24.txt;1
problems;24.txt;1
easy;24.txt;1
helped;24.txt;1
remarkable;24.txt;1
results;24.txt;1
early;24.txt;1
per;24.txt;1
previous;24.txt;1
technically;24.txt;1
colleague;24.txt;1
mine;24.txt;1
already;24.txt;1
spread;24.txt;1
thin;24.txt;1
additional;24.txt;1
clinical;24.txt;1
volume;24.txt;1
passed;24.txt;1
quite;24.txt;1
thankful;24.txt;1
become;24.txt;1
nice;24.txt;1
niche;24.txt;1
practice;24.txt;1
think;24.txt;1
speak;24.txt;1
seeing;24.txt;1
way;24.txt;1
buy-in;24.txt;1
quality;24.txt;1
life;24.txt;1
involvement;24.txt;1
began;24.txt;1
fda;24.txt;1
approval;24.txt;1
specialist;24.txt;1
expected;24.txt;1
requirement;24.txt;1
lot;24.txt;1
required;24.txt;1
completely;24.txt;1
worth;24.txt;1
pa-c;24.txt;1
ms;24.txt;1
come;24.txt;1
continuous;24.txt;1
dopaminergic;24.txt;1
stimulation;24.txt;1
touted;24.txt;1
decades;24.txt;1
came;24.txt;1
something;24.txt;1
waiting;24.txt;1
pivotal;24.txt;1
study;24.txt;1
moved;24.txt;1
commercial;24.txt;1
live;24.txt;1
little;24.txt;1
bet;24.txt;1
places;24.txt;1
fun;24.txt;1
medicinemedicine;24.txt;1
motilitymotility;24.txt;1
jejunumjejunum;24.txt;1
perspectiveperspective;24.txt;1
pumppump;24.txt;1
timestimes;24.txt;1
alarmsalarms;24.txt;1
troubletrouble;24.txt;1
thanksthanks;24.txt;1
carolyncarolyn;24.txt;1
carecare;24.txt;1
fieldfield;24.txt;1
keepskeeps;24.txt;1
expertiseexpertise;24.txt;1
extendextend;24.txt;1
adamadam;24.txt;1
pdpd;24.txt;1
mdmd;24.txt;1
teamteam;24.txt;1
infusioninfusion;24.txt;1
trainingtraining;24.txt;1
northwesternnorthwestern;24.txt;1
coverscovers;24.txt;1
orderorder;24.txt;1
concernsconcerns;24.txt;1
nursesnurses;24.txt;1
partsparts;24.txt;1
leaksleaks;24.txt;1
connectorconnector;24.txt;1
naturalnatural;24.txt;1
optionsoptions;24.txt;1
gigi;24.txt;1
abbvieabbvie;24.txt;1
excellentexcellent;24.txt;1
physicianphysician;24.txt;1
challengeschallenges;24.txt;1
irir;24.txt;1
problemsproblems;24.txt;1
easyeasy;24.txt;1
trialtrial;24.txt;1
answeranswer;24.txt;1
assistassist;24.txt;1
minemine;24.txt;1
thinthin;24.txt;1
volumevolume;24.txt;1
practicepractice;24.txt;1
involvementinvolvement;24.txt;1
specialistspecialist;24.txt;1
timetime;24.txt;1
informedinformed;24.txt;1
jessicajessica;24.txt;1
etcetc;24.txt;1
tomtom;24.txt;1
stimulationstimulation;24.txt;1
decadesdecades;24.txt;1
somethingsomething;24.txt;1
studystudy;24.txt;1
process;25.txt;15
processprocess;25.txt;10
tube;25.txt;8
nurse;25.txt;8
duopa;25.txt;8
team;25.txt;7
abbvie;25.txt;7
patients;25.txt;6
dayanna;25.txt;6
ocegueda;25.txt;6
phd;25.txt;6
leonard;25.txt;6
verhagen;25.txt;6
gi;25.txt;5
program;25.txt;5
help;25.txt;5
jessica;25.txt;5
md;25.txt;5
tom;25.txt;5
davis;25.txt;5
need;25.txt;5
advanced;25.txt;4
support;25.txt;4
neurology;25.txt;4
also;25.txt;4
karl;25.txt;4
role;25.txt;4
training;25.txt;4
place;25.txt;3
helped;25.txt;3
well;25.txt;3
started;25.txt;3
surgical;25.txt;3
partner;25.txt;3
carolyn;25.txt;3
taylor;25.txt;3
avram;25.txt;3
fraint;25.txt;3
fill;25.txt;3
backfill;25.txt;3
individual;25.txt;3
speed;25.txt;3
workflow;25.txt;3
initial;25.txt;3
parkinson;25.txt;3
smooth;25.txt;3
provide;25.txt;3
duoconnect;25.txt;3
interventional;25.txt;3
teamteam;25.txt;3
patientspatients;25.txt;3
fillfill;25.txt;3
helphelp;25.txt;3
helps;25.txt;2
fortunate;25.txt;2
movement;25.txt;2
pa-c;25.txt;2
northwestern;25.txt;2
therapeutics;25.txt;2
one;25.txt;2
lot;25.txt;2
work;25.txt;2
neuro;25.txt;2
quickly;25.txt;2
clinical;25.txt;2
together;25.txt;2
good;25.txt;2
keep;25.txt;2
ask;25.txt;2
helping;25.txt;2
meeting;25.txt;2
got;25.txt;2
rep;25.txt;2
group;25.txt;2
really;25.txt;2
practice;25.txt;2
available;25.txt;2
surgeons;25.txt;2
patient;25.txt;2
site;25.txt;2
specialist;25.txt;2
mobilizer;25.txt;2
nursenurse;25.txt;2
jessicajessica;25.txt;2
davisdavis;25.txt;2
perspective;25.txt;1
manage;25.txt;1
tubes;25.txt;1
type;25.txt;1
able;25.txt;1
adopt;25.txt;1
thanks;25.txt;1
educators;25.txt;1
train;25.txt;1
us;25.txt;1
providers;25.txt;1
knowledge;25.txt;1
base;25.txt;1
important;25.txt;1
aspect;25.txt;1
getting;25.txt;1
real;25.txt;1
interest;25.txt;1
vanderbilt;25.txt;1
excellent;25.txt;1
challenges;25.txt;1
minimal;25.txt;1
outside;25.txt;1
problems;25.txt;1
simple;25.txt;1
disorders;25.txt;1
neurologist;25.txt;1
experts;25.txt;1
adjusting;25.txt;1
l-dopa;25.txt;1
learn;25.txt;1
pump;25.txt;1
cheat;25.txt;1
sheets;25.txt;1
rn;25.txt;1
msn;25.txt;1
agpcnp-bc;25.txt;1
ms;25.txt;1
arrived;25.txt;1
already;25.txt;1
since;25.txt;1
took;25.txt;1
continued;25.txt;1
sandeep;25.txt;1
thakkar;25.txt;1
identified;25.txt;1
area;25.txt;1
brought;25.txt;1
board;25.txt;1
leads;25.txt;1
establish;25.txt;1
flow;25.txt;1
talk;25.txt;1
frequently;25.txt;1
ensure;25.txt;1
addition;25.txt;1
manager;25.txt;1
direct;25.txt;1
contact;25.txt;1
make;25.txt;1
aware;25.txt;1
issues;25.txt;1
may;25.txt;1
come;25.txt;1
insertion;25.txt;1
rush;25.txt;1
university;25.txt;1
drove;25.txt;1
involved;25.txt;1
trial;25.txt;1
entire;25.txt;1
worked;25.txt;1
perfect;25.txt;1
agree;25.txt;1
point;25.txt;1
feel;25.txt;1
numbers;25.txt;1
pretty;25.txt;1
represented;25.txt;1
things;25.txt;1
running;25.txt;1
everyone;25.txt;1
initiated;25.txt;1
disorder;25.txt;1
talked;25.txt;1
felt;25.txt;1
worthy;25.txt;1
procedure;25.txt;1
refractory;25.txt;1
followed;25.txt;1
discussion;25.txt;1
logistics;25.txt;1
inserviced;25.txt;1
connected;25.txt;1
procedures;25.txt;1
without;25.txt;1
inc;25.txt;1
believe;25.txt;1
development;25.txt;1
champion;25.txt;1
asked;25.txt;1
join;25.txt;1
proceduralist;25.txt;1
day-long;25.txt;1
session;25.txt;1
local;25.txt;1
hotel;25.txt;1
back;25.txt;1
think;25.txt;1
adding;25.txt;1
practitioners;25.txt;1
fairly;25.txt;1
natural;25.txt;1
transition;25.txt;1
glue;25.txt;1
holds;25.txt;1
lucky;25.txt;1
enough;25.txt;1
identify;25.txt;1
first;25.txt;1
second;25.txt;1
radiologist;25.txt;1
family;25.txt;1
members;25.txt;1
disease;25.txt;1
invested;25.txt;1
repositioning;25.txt;1
j-tubes;25.txt;1
fluoroscopy;25.txt;1
long;25.txt;1
g-tube;25.txt;1
intact;25.txt;1
nps;25.txt;1
surgery;25.txt;1
radiology;25.txt;1
communications;25.txt;1
tend;25.txt;1
bit;25.txt;1
daily;25.txt;1
basis;25.txt;1
whole;25.txt;1
system;25.txt;1
flowing;25.txt;1
nicely;25.txt;1
previous;25.txt;1
physician;25.txt;1
overseeing;25.txt;1
develop;25.txt;1
based;25.txt;1
similar;25.txt;1
model;25.txt;1
dbs;25.txt;1
side;25.txt;1
utilized;25.txt;1
education;25.txt;1
general;25.txt;1
therapies;25.txt;1
reps;25.txt;1
foster;25.txt;1
relationships;25.txt;1
say;25.txt;1
private;25.txt;1
closely;25.txt;1
radiologists;25.txt;1
willing;25.txt;1
specific;25.txt;1
population;25.txt;1
correct;25.txt;1
usual;25.txt;1
pi;25.txt;1
pivotal;25.txt;1
study;25.txt;1
transitioned;25.txt;1
commercial;25.txt;1
use;25.txt;1
crucial;25.txt;1
step;25.txt;1
find;25.txt;1
interested;25.txt;1
collaborating;25.txt;1
found;25.txt;1
relatively;25.txt;1
performing;25.txt;1
placements;25.txt;1
responsive;25.txt;1
requests;25.txt;1
example;25.txt;1
send;25.txt;1
picture;25.txt;1
concerned;25.txt;1
leakage;25.txt;1
discoloration;25.txt;1
etcetera;25.txt;1
mentioned;25.txt;1
difficult;25.txt;1
next;25.txt;1
big;25.txt;1
tony;25.txt;1
coordinated;25.txt;1
form;25.txt;1
beginning;25.txt;1
less;25.txt;1
autopilot;25.txt;1
finally;25.txt;1
become;25.txt;1
communicates;25.txt;1
requires;25.txt;1
cloning;25.txt;1
extraordinaire;25.txt;1
knows;25.txt;1
best;25.txt;1
left;25.txt;1
detailed;25.txt;1
instructions;25.txt;1
office;25.txt;1
lean;25.txt;1
account;25.txt;1
executive;25.txt;1
perspectiveperspective;25.txt;1
tubestubes;25.txt;1
neurologyneurology;25.txt;1
educatorseducators;25.txt;1
providersproviders;25.txt;1
basebase;25.txt;1
aspectaspect;25.txt;1
fortunatefortunate;25.txt;1
challengeschallenges;25.txt;1
problemsproblems;25.txt;1
disordersdisorders;25.txt;1
expertsexperts;25.txt;1
sheetssheets;25.txt;1
rnrn;25.txt;1
karlkarl;25.txt;1
placeplace;25.txt;1
programprogram;25.txt;1
thakkarthakkar;25.txt;1
workwork;25.txt;1
talktalk;25.txt;1
additionaddition;25.txt;1
contactcontact;25.txt;1
issuesissues;25.txt;1
phdphd;25.txt;1
numbersnumbers;25.txt;1
thingsthings;25.txt;1
rolerole;25.txt;1
procedureprocedure;25.txt;1
meetingmeeting;25.txt;1
logisticslogistics;25.txt;1
tubetube;25.txt;1
proceduresprocedures;25.txt;1
incinc;25.txt;1
joinjoin;25.txt;1
hotelhotel;25.txt;1
practitionerspractitioners;25.txt;1
